地区,2018,2017,2016,2015,2014
北京,62361.22,57229.83,52530.38,48457.99,44488.57
天津,39506.15,37022.33,34074.46,31291.36,28832.29
河北,23445.65,21484.13,19725.42,18118.09,16647.4
山西,21990.14,20420.01,19048.88,17853.67,16538.32
内蒙古,28375.65,26212.23,24126.64,22310.09,20559.34
辽宁,29701.45,27835.44,26039.7,24575.58,22820.15
吉林,22798.37,21368.32,19966.99,18683.7,17520.39
黑龙江,22725.85,21205.79,19838.5,18592.65,17404.39
上海,64182.65,58987.96,54305.35,49867.17,45965.83
江苏,38095.79,35024.09,32070.1,29538.85,27172.77
浙江,45839.84,42045.69,38529,35537.09,32657.57
安徽,23983.58,21863.3,19998.1,18362.57,16795.52
福建,32643.93,30047.75,27607.93,25404.36,23330.85
江西,24079.68,22031.45,20109.56,18437.11,16734.17
山东,29204.61,26929.94,24685.27,22703.19,20864.21
河南,21963.54,20170.03,18443.08,17124.75,15695.18
湖北,25814.54,23757.17,21786.64,20025.56,18283.23
湖南,25240.75,23102.71,21114.79,19317.49,17621.74
广东,35809.9,33003.29,30295.8,27858.86,25684.96
广西,21485.03,19904.76,18305.08,16873.42,15557.08
海南,24579.04,22553.24,20653.44,18978.97,17476.46
重庆,26385.84,24152.99,22034.14,20110.11,18351.9
四川,22460.55,20579.82,18808.26,17220.96,15749.01
贵州,18430.18,16703.65,15121.15,13696.61,12371.06
云南,20084.19,18348.34,16719.9,15222.57,13772.21
西藏,17286.06,15457.3,13639.24,12254.3,10730.22
陕西,22528.26,20635.21,18873.74,17394.98,15836.75
甘肃,17488.39,16011,14670.31,13466.59,12184.71
青海,20757.26,19001.02,17301.76,15812.7,14373.98
宁夏,22400.42,20561.66,18832.28,17329.09,15906.78
新疆,21500.24,19975.1,18354.65,16859.11,15096.62
