地区,2017,2016,2015,2014
北京,12512746,11934724,11171250,10937374
天津,5850624,5365129,5605736,6326265
河北,15938479,14203834,12861641,10861672
山西,8533662,7942196,8442363,7036233
内蒙古,7601337,7624806,7072130,6393778
辽宁,9651893,9206907,8781171,8700533
吉林,6586685,6439837,5975239,5353180
黑龙江,7545432,7336607,7040039,6278812
上海,12104556,11218946,10131153,9892212
江苏,25960645,24020855,22463773,20800931
浙江,21327866,18908104,17568215,16079755
安徽,13751567,12357931,11578495,10457811
福建,11390975,10473975,10028329,8928771
江西,11717849,10468837,9732898,8930127
山东,23946021,22422970,20632259,18847752
河南,21546749,18902582,17411099,16385611
湖北,13821834,13009264,11435059,9874547
湖南,15165690,13781959,12223238,11285463
广东,38610331,33675376,30474906,27356552
广西,11891781,10914241,10111559,8586224
海南,3390271,3068767,2809962,2413904
重庆,9483526,8863208,7971003,6979973
四川,19274514,17620946,16409562,14508458
贵州,12488005,10335342,9277347,7700061
云南,13292088,11886446,10455388,9199396
西藏,2387658,1857714,1919434,1529504
陕西,10545862,10049114,9674438,9101672
甘肃,7087547,6706137,6134547,5181631
青海,2343469,2162973,2073501,1976886
宁夏,2288400,2072544,1963258,1697964
新疆,8462090,7823914,7132774,6349792
